id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
88,Nature Of Product,"Finally, we look at the nature of the product in the market.",openlectures,http://youtu.be/s1d6yfm6t9Q,Determine the structure of a market by looking at the nature of the product,"Perfectly competitive sell only one good, true or false?",True! The products are completely homogenous.,4,http://www.mediafire.com/?9bb17za62hvdnbr,,Features of the Market Structures,Market Structure,Firms and How They Operate,Economics
89,Market Power,"Now that we have equipped you with the necessary tools to look at the structure of a market, we translate those structural characteristics into market power.",openlectures,http://youtu.be/Fmwc7wkIc4Q,Determine the market power of firms in a market by looking at the structure of the market,"If a firm is perfectly competitive, how much market power does it have?",It has zero market power!,5,http://www.mediafire.com/?p7u2dc3pun1m0o3,,Features of the Market Structures,Market Structure,Firms and How They Operate,Economics
90,What Is Perfectly Competitive?,"Now that you know how to analyse the structure of a market, let's move on to the first kind of market you'll learn - perfect competition.",openlectures,http://youtu.be/5dQas_3hVVQ,Identify a perfectly competitive firm and understand how it has no market power because of its structure,Why does the perfectly competitive firm face a horizontal demand curve?,"If the firm sells at any price higher than the market price, no one will buy from him (because they will just buy from all his competitors since they all sell the same product). The firm won't want to sell at any price below the market price (why earn less?). So he will sell at only one price, and that gives him a horizontal demand curve which is equal to the market price.",1,http://www.mediafire.com/?jhy2hyhfnr338d8,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
91,Flintstones And Futurama,Let's take a short break to review the concept of short run versus long run. Here we go!,openlectures,http://youtu.be/53i_n-go5y0,Distinguish between the short run and the long run.,Are firms allowed to enter and exit the perfectly competitive market in the long run?,Yes! Especially because the barrier to entry is zero in a perfectly competitive market.,2,http://www.mediafire.com/?6g7vcf6jci3s8b4,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
92,Short Run Equilibrium Of The Firm,"In the short run, the perfectly competitive firm may have one of these three equilibriums: supernormal, normal or subnormal profit. Let's see how we get there.",openlectures,http://youtu.be/OrKCM-gL0bA,Describe the short run equilibrium of the perfectly competitive firm,"In the short run, the perfectly competitive firm can earn supernormal, normal, and subnormal profits. True or false?","True! Depending on the position of the firm's AR and AC, any of the three scenarios may happen.",3,http://www.mediafire.com/?7uxzf78kg8gumfu,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
93,Long Run Equilibrium Of The Firm,"In the long run, the perfectly competitive firm behaves a little differently. It will only be able to earn normal profits due to the freedom of entry.",openlectures,http://youtu.be/DKmhqc-tiqw,Describe the long run equilibrium of the perfectly competitive firm,What is the only type of profit that perfectly competitive firms can achieve in the long run?,"Normal profits. Supernormal profits will be eroded by new entrants, and subnormal profits will be restored to normal profits after the exit of unprofitable firms.",4,http://www.mediafire.com/?4mc8xgayya2b9cb,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
94,Behaviour Of Perfectly Competitive Firms,These structural characteristics cause the perfectly competitive firm to have no market power.,openlectures,http://youtu.be/sZtRBiey1to,Describe the conduct of perfectly competitive firms,What is the characteristic conduct of perfectly competitive firms?,They are price takers. They take whatever price the market gives them.,5,http://www.mediafire.com/?x0omfgwi6pvbxw2,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
95,Perfect Is The Best?,"Does ""perfect"" then imply the best kind of market structure available? Unfortunately that isn't so. The term simply describes ""absolute"" competition. It is not a judgement on the performance of the firm.",openlectures,http://youtu.be/BALi9xJPnAc,"Understand that the term ""perfect"" in perfect competition is not a judgement of the market's performance.",So is perfect competition perfect and always desirable?,"Not necessarily! We will discuss how so later on in the topic ""Efficiency of Different Market tructures"".",6,http://www.mediafire.com/?26r4ggs58ijk5j9,,Perfect Competition,Market Structure,Firms and How They Operate,Economics
96,What Is A Monopoly?,Let's move on to the next market structure - monopolies. First let's define what a monopoly is based on its structural characteristics.,openlectures,http://youtu.be/9KJJDBngfBM,Identify a monopoly and understand how it has market power because of its structure.,"If a firm is a monopoly, how much market power does it have?",It has significant market power! Hence it can set price or quantity.,1,http://www.mediafire.com/?ysdymtwd6ad8fe7,,Monopoly,Market Structure,Firms and How They Operate,Economics
97,The Great Wall Of Monopolies,We said that monopolies are able to maintain market power due to their barriers to entry. Let's look at these animals in close detail.,openlectures,http://youtu.be/_1fqH5_KwWo,Classify types of barriers to entry,What are the two types of barriers to entry?,Real and artificial,2,http://www.mediafire.com/?jyx6iea74uylooc,,Monopoly,Market Structure,Firms and How They Operate,Economics
98,Equilibrium Price And Output,Now let's look at how equilibrium price and output is determined in a monopoly. It is significantly different from that of the perfectly competitive firm so listen up!,openlectures,http://youtu.be/bdUAOthcLEk,Derive equilibrium price and output for a monopoly,Does the monopoly price where its MR is?,"No! The profit maximising quantity is determined where MC = MR, but the actual price is based on the AR where the profit maximising quantity occurs.",3,http://www.mediafire.com/?raf9hluys4bx89z,,Monopoly,Market Structure,Firms and How They Operate,Economics
99,Behaviour Of Monopolies,"Now that we are done with the structure of monopolies, let's see how those structural characteristics translate into conduct.",openlectures,http://youtu.be/1c5KW02Hhys,Describe the conduct of monopolies,What is the characteristic conduct of monopolies?,They can set prices. This means that they can set either price or quantity (but not both at the same time. They still have to obey the market demand AR),4,http://www.mediafire.com/?2f2sa1rk4yhwdsj,,Monopoly,Market Structure,Firms and How They Operate,Economics
100,Natural Monopolies,Now let's look a special case of monopolies - natural monopolies. These monopolies exist for a special reason.,openlectures,http://youtu.be/ln6KqwmGRGk,Define natural monopolies,Why are some industries only able to support one firm and hence create natural monopolies?,"The firm requires a very large size to reap economies of scale. Hence, the industry can only accomodate one player.",5,http://www.mediafire.com/?533nl4joosny57d,,Monopoly,Market Structure,Firms and How They Operate,Economics
101,What Is Monopolistic Competition?,"Let's move on to the third market structure - monopolistic competition. First, let's define it.",openlectures,http://youtu.be/ORdgQK2pkEs,Identify a monopolistic competitive firm,Give an example of a monopolistic competitive firm,"Restaurants are great examples of that. They are usually small, have minor variations from each other, and there are many of them.",1,http://www.mediafire.com/?d55ghep5cmhfhcp,,Monopolistic Competition,Market Structure,Firms and How They Operate,Economics
102,Short Run Equilibrium Of The Firm,The monopolistic competitive (MPC) firm has a short run and long run equilibrium like the PC firm. Let's look at that.,openlectures,http://youtu.be/8_lUeB_VSkQ,Describe the short run equilibrium of the monopolistic competitive firm,"In the short run, the MPC firm can earn supernormal, normal, and subnormal profits. True or false?","True! Depending on the position of the firm's AR and AC, any of the three scenarios may happen.",2,http://www.mediafire.com/?qa2dkrnoeu2e4by,,Monopolistic Competition,Market Structure,Firms and How They Operate,Economics
103,Long Run Equilibrium Of The Firm,The MPC firm's long run equilibrium is quite similar to the PC firm's. Let's look that.,openlectures,http://youtu.be/DizI7dAl9Zg,Describe the long run equilibrium of the monopolistic competitive firm,"In the long run, the MPC can only earn what type of profit?","Normal profits. Supernormal profits will be eroded by new entrants, and subnormal profits will be restored to normal profits after the exit of unprofitable firms.",3,http://www.mediafire.com/?qakwhp5ocal86at,,Monopolistic Competition,Market Structure,Firms and How They Operate,Economics
104,Behaviour Of The Firm - Non Price Competition,The structure of the MPC firm gives it certain conducts. They engage in non-price competition and minor product differentiation.,openlectures,http://youtu.be/5LldhCon_pI,Describe the conduct of monopolistic competitive firms,What are the conducts of MPC firms?,They engage in non-price competition (for example advertising) and minor product differentiation.,4,http://www.mediafire.com/?8394pjcwhr8f01x,,Monopolistic Competition,Market Structure,Firms and How They Operate,Economics
105,What Is Oligopoly?,Let's move on to the last market structure - oligopoly. ,openlectures,http://youtu.be/9rwsytMEHMA,Identify an oligopoly,How will you describe the structure of an oligopoly?,"Few firms, high barriers to entry. The product may be either identical or differentiated depending on the market.",1,http://www.mediafire.com/?kbj2574e4aquapr,,Oligopoly,Market Structure,Firms and How They Operate,Economics
106,Competition Vs Collusion,"There are only a few firms in an oligopolistic market. Hence the firms are wary of each other's strategies. This causes them to be interdependent. In that case, they either compete or collude.",openlectures,http://youtu.be/jQHar6RzEdc,Describe the conduct of oligopolies using interdependence and understanding that they either compete or collude.,Why do oligopolies compete or collude?,"Because they are interdependent. If they can act independent of each other (like in a PC or MPC market) then there's no need to take note of other firms' actions, and act accordingly. Then they wouldn't need to decide between competing or colluding.",2,http://www.mediafire.com/?kskw8ss56wal8km,,Oligopoly,Market Structure,Firms and How They Operate,Economics
107,Equilibrium Under Collusive Oligopoly,First let's look at collusive oligopolies. They simply behave like one big monopoly.,openlectures,http://youtu.be/1_EU64iSINM,Describe the equilibrium of a collusive oligopoly,What do collusive oligopolies behave like?,They behave like one single monopoly and we analyse them the same way.,3,http://www.mediafire.com/?yaho664sq84u44s,,Oligopoly,Market Structure,Firms and How They Operate,Economics
108,Hush Hush,Why do some oligopolistic markets end up being collusive? These factors promote the formation of collusions.,openlectures,http://youtu.be/q5Xc9PND9M0,List factors that favour collusion,What factors favour collusion?,"Very few firms, firms being familiar with each other, similar production processes, significant barriers to entry. The opposite applies for conditions that favour competition.",4,http://www.mediafire.com/?wm4iecvl1nk5cbf,,Oligopoly,Market Structure,Firms and How They Operate,Economics
109,Fight Fight Fight,Collusion do break down! How does that happen?,openlectures,http://youtu.be/-z9l_jYswzE,Understand that collusions are prone to breaking down,Why do collusions break down?,"Temptation of profit. Individual firms may undercut prices or oversell their quota, causing retaliation, price wars and the eventual breakdown of a collusion.",5,http://www.mediafire.com/?gxc3eyfu8yf3ooe,,Oligopoly,Market Structure,Firms and How They Operate,Economics
110,Competitive Oligopoly - Game Theory,"Oligopolies often compete as well. When they do so, we use game theory to analyse these scenarios.",openlectures,http://youtu.be/axQbogFcuLk,Understand that game theory can be used to describe the behaviour of oligopolists,What is game theory?,Game theory is the study of alternative strategies that players in the game may choose to adopt based on their assumption about other rivalsâ€™ behaviours.,6,http://www.mediafire.com/?e0t816ccuwrxi23,,Oligopoly,Market Structure,Firms and How They Operate,Economics
111,Dominant Strategies,First let's look at how game theory scenarios can be resolved and the implications of that the behaviour of oligopolies.,openlectures,http://youtu.be/s--pN4p-_vI,Understand how game theory can be used to analyse how firms respond to each other,"In game theory, firms make decisions based on the decision of other firms. True or false?",True! In fact that is why we used game theory in the first place - so that we can analyse what one firm will do given the action of another firm.,7,http://www.mediafire.com/?btd4qn1nm3bvci6,,Oligopoly,Market Structure,Firms and How They Operate,Economics
112,Prisoner's Dilemma,"The dominant strategy may not always be optimal. In fact, in the case of oligopolies, they lose more than they gain by competing. However, they usually end up competing.",openlectures,http://youtu.be/vd_D96Je3xo,Understand how prisoner's dilemma can arise between competing firms,Prisoner's dilemma causes firms to settle at a suboptimal option. True or false?,"True! Firms end up earning less individually. However, they both end up there after considering the action of their competitors.",8,http://www.mediafire.com/?430g9vyg1wfi911,,Oligopoly,Market Structure,Firms and How They Operate,Economics
113,Are You Game?,"More complex scenarios exist (the previous one is very simplified). However, this scenario is sufficient to illustrate the usefulness of game theory in explaining the interdependent behaviour of oligopolists. What about the disadvantages of game theory?",openlectures,http://youtu.be/QzwTvFxhg6I,Understand intuitively more complex ideas in game theory and the limitations of game theory.,What is one major limitation of game theory?,The fact that you need to quantify every possible scenario based on all the possible moves of your competitors.,9,http://www.mediafire.com/?jfkkyeyjbbfj51f,,Oligopoly,Market Structure,Firms and How They Operate,Economics
114,Spotting The Price Discrimination ,Here you will find out what price discrimination really means and how you can spot it.,openlectures,http://youtu.be/0hPGoFUykrE,Define price discrimination precisely,Is it price-discrimination when oranges from Fairprice Finest @ Somerset costs more than those from your neighbourhood Fairprice?,"It all depends on whether there is a difference in the production costs. In this case, downtown rental rates are a lot more expensive and may account for the price difference observed.",1,http://www.mediafire.com/?r4hj62m96j0g9v4,,Introduction to Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
115,Necessary Conditions ,"Firms arenâ€™t always able to engage in price-discrimination (thankfully?). For firms to be able to price-discriminate, these are the market conditions that must be met.",openlectures,http://youtu.be/PNdo0oYfSCU,State market conditions necessary for firms to be able to price-discriminate,Is price discrimination possible under perfect competition?,No.,2,http://www.mediafire.com/?7pe73l0ae28vkqg,,Introduction to Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
116,To Each His Own Price ,This is the first kind of price discrimination you will learn. It takes discrimination to a whole new levelâ€_,openlectures,http://youtu.be/SVkHyCi9S8s,Describe and define 1st degree price discrimination,"In 1st degree price discrimination, a firm charges each consumer for each unit the maximum/minimum price which
that consumer is willing to pay?",Think of what the stall keeper is trying to make buyers reveal when haggling over prices!,1,http://www.mediafire.com/?j9cjjaifp7yqzx8,,First Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
117,In The Real World ,"Now that you know what 1st degree price discrimination is in theory, find out how it happens in real life.",openlectures,http://youtu.be/9j5uOlnrh1s,Understand how 1st degree price discrimination is like in the real world,Give an example of a firm that practises 1st degree price discrimination.,"Auctions, online auction sites.",2,http://www.mediafire.com/?w7fcsyw8b2s3f7n,,First Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
118,Block Pricing ,"Here you will learn what is 2nd degree price discrimination, also known as block pricing.",openlectures,http://youtu.be/11dxQR577KE,Describe and define 2nd degree price discrimination,"In 2nd degree price discrimination, what determines the price a consumer pays?",The quantity he/she buys (usually).,1,http://www.mediafire.com/?2tunatjt0g8wvzw,,Second Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
119,How It Actually Happens ,"Now that you know what 2nd degree price discrimination is in theory, find out how it happens in real life.",openlectures,http://youtu.be/oC8TkIqfvwc,Understand how 2nd degree price discrimination is like in the real world,Give an example of a firm that practises 2nd degree price discrimination.,"Electricity and utilities providers, among others.",2,http://www.mediafire.com/?2w8993ejrc11wi6,,Second Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
120,It's All About Elasticity ,This is the last type of price discrimination that you will learn about.,openlectures,http://youtu.be/VGtgsNh41hA,Describe and define 3rd degree price discrimination,"In 3rd degree price discrimination, why does each submarket pay a different price?",Each submarket has a different price elasticity of demand.,1,http://www.mediafire.com/?bg25w6y931b64ox,,Third Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
121,Graph Drawing How To Distribute Output ,Hereâ€™s some fun and interesting graph drawing! You will also find out how firms maximise their profits through 3rd degree price discrimination.,openlectures,http://youtu.be/AL35f2MgX1I,Demonstrate how output is distributed between markets to maximise profits,How do we distribute output to each submarket?,Such last unit sold in each market must give the same marginal revenue.,2,http://www.mediafire.com/?gslbndbbxf3ibpt,,Third Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
122,In The Real World ,"Now that you know what 3rd degree price discrimination is in theory, find out how it happens in real life.",openlectures,http://youtu.be/zmMPZfZLY2o,Understand how 3rd degree price discrimination is like in the real world,Give an example of a firm that practises 3rd degree price discrimination.,"SMRT in Singapore, MacDonaldâ€™s when it gives student discounts and many more!",3,http://www.mediafire.com/?4lbqqsyxgdh73zo,,Third Degree Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
123,Costs ,Price discrimination may have negative effects on consumers and on society.,openlectures,http://youtu.be/GKQR2brSduo,Analyse the costs of price discrimination,What is the cost of price discrimination to society?,Recall that price discrimination does not cause any additional deadweight loss to society because all consumer surplus lost is transferred to the producer. The main cost to society is where firms turn complacent and become x-inefficient.,1,http://www.mediafire.com/?4a11oacd584iivj,,Applications of Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
124,Benefits ,Price discrimination does not just benefit the firms; it can also benefit society.,openlectures,http://youtu.be/MRocUa77KPw,Analyse the benefits of price discrimination,"Other than increased research and development, what is another possible benefit of price discrimination?","Supplying to certain segments of the market that it was previously unprofitable to supply, hence increasing consumer choice.",2,http://www.mediafire.com/?yk15a9xsme4z5cu,,Applications of Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
125,"Coffee, Price Discrimination And Fair Trade ","Are you still with me? If you are, great! If you are not, itâ€™s time for some coffeeâ€_",openlectures,http://youtu.be/V88XPEMQGjQ,Understand price discrimination through coffee pricing in cafes,Did you like this series on price discrimination? OK hereâ€™s the real question. What assumption did Starbucks make in order to price-discriminate profitably?,That those people who care about fair trade are willing to pay more for their coffee.,3,http://www.mediafire.com/?iscvsqx8p5iq93e,,Applications of Price Discrimination,Price Discrimination,Firms and How They Operate,Economics
126,Review: Summary Of Efficiency,"In this topic we analyse the performance of different market structures. Before we do that, let's review efficiency (because we are going to use efficiency concepts very extensively in this topic).",openlectures,http://youtu.be/JTjPMmBtfAc,List the different types of efficiencies,What are the two main types of efficiency that we are concerned with?,Allocative and Productive Efficiency,1,http://www.mediafire.com/?o5gq1hzzgpm2fz0,,Recap on Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
127,Pareto Efficiency?,Is pareto efficiency the same as allocative efficiency? Well not really.,openlectures,http://youtu.be/gpcmnR7CtZM,Differentiate between Allocative and Pareto Efficiency,Are pareto efficient outcomes necessarily allocatively efficient?,"Not really! For the reasoning, watch the video.",2,http://www.mediafire.com/?9m3h3jqwr2nx669,,Recap on Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
128,Allocative Efficiency On A PPC,"Let's look at the different ways we can represent allocative efficiency. First, we can represent this form of efficiency on the PPC.",openlectures,http://youtu.be/42nqQjlV1Dc,Represent Allocative Efficiency on a PPC,What are the two conditions for allocative efficiency on the PPC?,It must lie on the PPC (to make sure that the maximum amount of the two goods are produced) and it must be the right combination (so that the right type of goods are produced).,1,http://www.mediafire.com/?rk1ivhwe8bgscfe,,Allocative Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
129,Allocative Efficiency Through Maximising Surplus,We can also represent allocative efficiency by maximising consumer and producer surplus. This is done through the equilbrium of demand and supply.,openlectures,http://youtu.be/nMqqbdjgeGM,Represent Allocative Efficiency using Demand and Supply,Why is the intersection of demand and supply allocatively efficient?,Both consumer and producer surplus are maximised at that quantity.,2,http://www.mediafire.com/?dhq5h22q8aynzqn,,Allocative Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
130,Allocative Efficiency Through P=MC,Allocative efficiency also happens when market price P equals to Marginal Cost MC. Let's see why that happens.,openlectures,http://youtu.be/hk7TlA_7Z9k,Represent Allocative Efficiency using P=MC,Why is P=MC allocatively efficient?,"Any amount less than that, P>MC, so society values the last unit more than what it takes to produce it. So society can benefit if an additional unit is produced. Any amount less than that, Pmised when P=MC. ",3,http://www.mediafire.com/?nb81i5m6eiojk96,,Allocative Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
131,Allocative Efficiency Through Cost Benefit Analysis,"Finally, Cost Benefit Analysis (CBA) also allows us to determine allocatively efficiency.",openlectures,http://youtu.be/WfINmTw7Bo8,Represent Allocative Efficiency through Cost Benefit Analysis,What is the condition for allocaive efficiency under Cost Benefit Analysis,When Marginal Social Benefit = Marginal Social Cost,4,http://www.mediafire.com/?ddzacma6tgo5jq2,,Allocative Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
132,Conditions For Allocative Efficiency,Let's summarise the conditions for allocative efficiency. Can you recall all 4?,openlectures,http://youtu.be/Kcwo0r-arL8,List the different tests for Allocative Efficiency,What are the tests we use to determine allocative efficiency?,"PPC, Demand and Supply, P=MC and Cost Benefit Analysis",5,http://www.mediafire.com/?6rcdo6kt50ssdf1,,Allocative Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
133,Productive Efficiency On A PPC,Now let's look at productive efficiency. Productive efficiency can be represented on a PPC as well.,openlectures,http://youtu.be/gQkLuFKKaxU,Represent Productive Efficiency using the PPC,What is the condition for productive efficiency using the PPC?,The point of production must be on the PPC itself.,1,http://www.mediafire.com/?spxkvh7kyx5g73i,,Productive Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
134,Productive Efficiency Using AC,Productive efficiency can be represented by Average Costs too. Let's look at how that is done.,openlectures,http://youtu.be/zAVo1Tdq0Ww,Represent Productive Efficiency using the SRAC and the LRAC,What are the two conditions for productive efficiency?,Being at the bottom point of the SRAC and the LRAC,2,http://www.mediafire.com/?2nqo733l74aklg4,,Productive Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
135,Recalling The Slacker,Is X-Efficiency simply productive efficiency? Actually not really!,openlectures,http://youtu.be/Sa77lxEmtbQ,Define X-Efficiency,What is X-Efficiency?,X-Efficiency is the effectiveness with which a given set of inputs are used to produce outputs.,3,http://www.mediafire.com/?272xqyo755rfajb,,Productive Efficiency,Efficiency of Different Market Structures,Firms and How They Operate,Economics
136,Structure Conduct Performance,Now let's get back to market structures. Remember our structure conduct performance framework?,openlectures,http://youtu.be/2XKKQZ9d7LA,Summarise the structure and conduct of the 4 market structures.,What are the conducts of the 4 market structures?,PC firms have zero market power and are price takers. Monopolies have significant market power and are price setters. MPC firms engage in non-price competition and minor product differentiation. They are independent of one another. Oligopolists are interdependent.,1,http://www.mediafire.com/?69dwbum16hyczw2,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
137,Efficiency,"Let's move on to the performance of each of these 4 markets. First, let's evaluate them in terms of efficiency.",openlectures,http://youtu.be/JTjPMmBtfAc,Evaluate the efficiency of the 4 market structures,Is the PC firm allocatively and productively efficiency? What about the monopoly?,The PC firm is allocatively and productively efficient. The monopoly is allocatively inefficiency. The monopoly has no incentive to be productively efficient and hence is usually productively efficient. It is only productively efficient by sheer coincidence.,2,http://www.mediafire.com/?s4d4n7aa53m9phk,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
138,Equity,"Now that we have evaluated the market structures by efficiency, let's analyse them in terms of equity.",openlectures,http://youtu.be/hEaMwHVbEmc,Evaluate the level of equity in the 4 market structures,Is the PC firm equitable?,Yes it is. Every firm only earns normal profits and no one is earning excess profits.,3,http://www.mediafire.com/?pctl743oigwb05g,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
139,Spoilt For Choice,"Third, let's analyse the amount of consumer choice in each of those market structures.",openlectures,http://youtu.be/hEaMwHVbEmc,Evaluate the level of consumer choice in the 4 market structures.,Is there consumer choice in a MPC market?,"Yes there is! In fact, that is why MPC firms are slightly allocatively inefficient (remember the trade off between variety and absolute allocative efficiency?)",4,http://www.mediafire.com/?29y7ra6dvvjqnxj,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
140,Innovation,"Last, let's see if each of the market structures promote innovation.",openlectures,http://youtu.be/ErQMaxDsppo,Evaluate the level of innovation in the 4 market structures,Is there innovation in an oligopolistic market?,"The individual firms are large enough to have capital for innovation. However, they have no incentive to innovate so long as barriers to entry are significant enough to prevent entrants. They can continue earning profits without innovation!",5,http://www.mediafire.com/?eqx4mny4yuz447e,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
141,Contestable Markets,That was the standard vanilla analysis of market structures. Let's add something special now. The theory of contestable markets modify our view of the oligopoly significantly.,openlectures,http://youtu.be/8PL1IYBDueg,Understand the implications of the theory of contestable markets on oligopolies,What happens when markets are contestable?,"The sheer threat of having new entrants prevent firms from charging supernormal profits. Also, firms innovate in the market. Hence even though the market is oligopolistic, it will have innovation and be closer to allocative and productive efficiency.",6,http://www.mediafire.com/?eqx4mny4yuz447e,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
142,Natural Monopolies,"By now, our conclusion is that monopolies are bad. However, that is not always the case! A natural monopoly is one such example.",openlectures,http://youtu.be/wRcC1SR0PDw,Understand how keeping natural monopolies as monopolies may be beneficial to society.,What are natural monopolies?,By allowing the firm to exist (due to its high economies of scale) and preventing duplication of services.,7,http://www.mediafire.com/?u44wi8tmq5g2b67,,Evaluating Market Structures,Efficiency of Different Market Structures,Firms and How They Operate,Economics
143,The Crippled Invisible Hand,Markets aren't all that close to the idea we have of them in the Free Market. They're pretty much different actually. Have you questioned why some phenomenas such as dominant producers and government regulation occur? That's where Market Failure steps in,openlectures,http://youtu.be/X6qwghiALdo,Define Market Failure,What are some of the variations between Free Market concepts and the real world that you have noticed?,"There are many of these examples. While we have provided a few, look out for more in your daily life!",1,http://www.mediafire.com/?s9sqa7b7aiyj29z,,What is Market Failure,Market Failure,Market Failure,Economics
144,Before The Arm Snapped,"Before me move on, we need to identify the concepts we're going to be using. The lesson on Free Markets taught us about allocative and productive efficiency - this is a recap on those topics.",openlectures,http://youtu.be/qsVs8NKfGRw,"Understand that without market failure, the free market produces efficient outcomes",What are the two main kinds of efficiency we study in market theory?,Allocative and Productive Efficiency,2,http://www.mediafire.com/?yj19vlc47gqsc5w,,What is Market Failure,Market Failure,Market Failure,Economics
145,Types Of Market Failure,Market failure can be divided into a few sub-topics. They can occur concurrently or exclusively- but an appreciation of all of them allows us to have a better grasp on real-world issues.,openlectures,http://youtu.be/jo2NM90jE0Y,Identify the types of market failure to be discussed,List the types of market failure arguments you can use in a debate.,There are six main kinds,3,,,What is Market Failure,Market Failure,Market Failure,Economics
146,Sounds Like Externalities,Externalities are pretty prevalent in our world. How do we define an externality and what are some of the cases we can directly relate to?,openlectures,http://youtu.be/_NDoXTs9Dqc,Define externalities,What is the definition of an externality?,Think about the effects an externality has on the consumer and on society,1,http://www.mediafire.com/?jdf6ynj1v5v5cjk,,Externalities,Market Failure,Market Failure,Economics
147,Social Cost And Benefits,Externalities make use of important concepts of SOCIAL costs and benefits. Here we'll take a look at what they mean.,openlectures,http://youtu.be/ijtU8rTf5Rc,Define social cost and benefits,What is the main effect on social costs and benefits on market diagrams?,Market diagrams mainly deal with individual behaviour - how do social costs and benefits fit in then?,2,http://www.mediafire.com/?as4fm34zp3s2ehh,,Externalities,Market Failure,Market Failure,Economics
148,Classifying Externalities,Externalities can be classified in some ways. These are the conditions which we classify them under,openlectures,http://youtu.be/9rRvs1ZagK4,List the types of externalities,What are the classification of externalities?,Think about how we want to classify them in arguments and discussions,3,http://www.mediafire.com/?5y09grff1agczn3,,Externalities,Market Failure,Market Failure,Economics
149,Negative Externalities (NE),Negative externalities deal with costs borne on societies that individuals do not consider- here are some examples,openlectures,http://youtu.be/MAoQ3ioSlfs,Define negative externalities,What are some other examples of negative externalities that you can think of?,Anything that causes external costs to others (or society at large) can be considered negative externalities.,4,http://www.mediafire.com/?kh4n1g2g2oajbfy,,Externalities,Market Failure,Market Failure,Economics
150,Marginal External Cost (MEC),Marginal external costs help explain the effect on society from negative externalities. Here's how.,openlectures,http://youtu.be/uh_jRxqA13A,Understand how marginal external cost is calculated and used in analysis,What's a simple method of calculating marginal external cost?,Remember the two main groups we're dealing with here - society and individuals.,5,http://www.mediafire.com/?h9fc760lyi94su5,,Externalities,Market Failure,Market Failure,Economics
151,Socially Optimal Production,"If negative externalities cost the level of production to be allocatively inefficient, then how do we deduce the socially optimal level production. This is how.",openlectures,http://youtu.be/GG6oqTdoFtM,Deduce socially optimal production amount using social cost and benefits,What's the difference between the socially optimal level of production and the actual level of production?,Remember the difference between cost on society and cost on the individual,6,http://www.mediafire.com/?0jm1a7j124ygjga,,Externalities,Market Failure,Market Failure,Economics
152,Inconsiderate Neighbours,Here we see how some of the effects of negative externalities on our society.,openlectures,http://youtu.be/0LDtdZ9ngHw,Understand some of the effects of negative externalities,Think about the effects on other parties such as the government and firms.,These are usually negative effects on society.,7,http://www.mediafire.com/?951vasvu5pbefsv,,Externalities,Market Failure,Market Failure,Economics
153,Positive Externalities (PE),Positive externalities deal with benefits borne on societies that individuals do not consider- here are some examples,openlectures,http://youtu.be/l8JGhClqq9Y,Define positive externalities,What are some other examples of positive externalities that you can think of?,Open education anyone?,8,http://www.mediafire.com/?xszhcduxzetx27q,,Externalities,Market Failure,Market Failure,Economics
154,Marginal External Benefit (MEB),Marginal external benefits help explain the effect on society from positive externalities. Here's how.,openlectures,http://youtu.be/K656p1dV8ko,Understand how marginal external benefit is calculated and used in analysis,What's a simple method of calculating marginal external benefit?,Remember the two main groups we're dealing with here - society and individuals.,9,http://www.mediafire.com/?at46vesmr7gaob9,,Externalities,Market Failure,Market Failure,Economics
